,0,1,2,3,4
40,7,5,0.7500000000000002,0.22600732600732604,0.020230070352568283
42,7,6,0.5,0.4862974429537897,0.062115882224575474
39,7,5,0.7000000000000002,0.15413455905547296,0.05896300201706362
44,7,6,0.6000000000000001,0.3650623885918004,0.0216700457805827
41,7,5,0.8000000000000003,0.10785879365583184,0.02654765308138146
45,7,6,0.6500000000000001,0.32732809745151464,0.023606038068405232
43,7,6,0.55,0.4075236611956392,0.024175453538090058
47,7,6,0.7500000000000002,0.10465783403324068,0.03547546550680881
49,8,4,0.5,0.3030755890112729,0.025224250400658628
46,7,6,0.7000000000000002,0.2577035462001987,0.00843460085064003
51,8,4,0.6000000000000001,0.30417525773195875,0.03204722262078238
48,7,6,0.8000000000000003,0.18456812005199102,0.010052066108671261
50,8,4,0.55,0.27359684055356315,0.016418064332736487
53,8,4,0.7000000000000002,0.20347021399652981,0.013854387569357007
54,8,4,0.7500000000000002,0.20347021399652981,0.013854387569357007
52,8,4,0.6500000000000001,0.21126334519572953,0.042191588985809984
57,8,5,0.55,0.3989165018488262,0.05953921849813042
58,8,5,0.6000000000000001,0.25740160222918845,0.08456336383531686
55,8,4,0.8000000000000003,0.1632999353587589,0.0074104581192680746
56,8,5,0.5,0.3229685364665965,0.04404184423720767
61,8,5,0.7500000000000002,0.1162454242686112,0.02650876919987099
62,8,5,0.8000000000000003,0.15101289134438306,0.005811738025062472
63,8,6,0.5,0.38240636587093274,0.05915241666676317
60,8,5,0.7000000000000002,0.2469193654760665,0.018743923110568713
64,8,6,0.55,0.42227472706534136,0.013396987896771132
65,8,6,0.6000000000000001,0.40470201238390086,0.02917399254924555
66,8,6,0.6500000000000001,0.3740911130336592,0.024376847843701657
67,8,6,0.7000000000000002,0.15688141407680906,0.021039608002706916
68,8,6,0.7500000000000002,0.26289696944553925,0.010114579921926279
69,8,6,0.8000000000000003,0.08885819521178637,0.01744896572859209
71,8,7,0.55,0.4620185620716688,0.03457354437124805
70,8,7,0.5,0.3013712989288074,0.14456785911926132
73,8,7,0.6500000000000001,0.1813281191175363,0.06178804170672083
72,8,7,0.6000000000000001,0.4349015083536299,0.046539394414090794
75,8,7,0.7500000000000002,0.1251642203497327,0.027032558739742734
74,8,7,0.7000000000000002,0.15777435876254595,0.023746700282144526
77,9,4,0.5,0.23635785793739073,0.08103421520535471
76,8,7,0.8000000000000003,0.19601542808668534,0.012933416837588817
78,9,4,0.55,0.27246262785208497,0.04109355140263462
79,9,4,0.6000000000000001,0.2239952016550813,0.048624439912558985
80,9,4,0.6500000000000001,0.19912234876188487,0.034050313147483795
81,9,4,0.7000000000000002,0.06753095477128221,0.012268535823650902
82,9,4,0.7500000000000002,0.17312524930195455,0.00843895464917145
83,9,4,0.8000000000000003,0.1475242974587667,0.0057627047811956
84,9,5,0.5,0.41405610848069047,0.4019845176399089
85,9,5,0.55,0.22327020883415916,0.1362364999160706
87,9,5,0.6500000000000001,0.19471282838980045,0.08478249732130766
88,9,5,0.7000000000000002,0.16205996698088085,0.061651038965108214
86,9,5,0.6000000000000001,0.3768567420366397,0.06685171782675718
91,9,6,0.5,0.3320087695258974,0.06892471709309551
89,9,5,0.7500000000000002,0.1533500139004726,0.05130132010119092
90,9,5,0.8000000000000003,0.22545230493474486,0.021779520487595287
93,9,6,0.6000000000000001,0.17653146053793797,0.07289991653791372
92,9,6,0.55,0.39825379571513725,0.007214875570128781
94,9,6,0.6500000000000001,0.18014345498416526,0.061057217226876376
96,9,6,0.7500000000000002,0.1455513327124915,0.034553601006881554
95,9,6,0.7000000000000002,0.14702965435978008,0.04487418160644486
98,9,7,0.5,0.4426397991676916,0.0266618441821051
100,9,7,0.6000000000000001,0.20249545533105806,0.16312507279514762
97,9,6,0.8000000000000003,0.11266424047641554,0.02684833745908276
99,9,7,0.55,0.20249545533105806,0.16312507279514762
101,9,7,0.6500000000000001,0.19850172840457184,0.059152385047531605
102,9,7,0.7000000000000002,0.29682340711752475,0.02333044269938153
105,9,8,0.5,0.47972474026414846,0.07859708536504995
103,9,7,0.7500000000000002,0.12715823399608078,0.018504935712490636
106,9,8,0.55,0.570979218518575,0.09710704572279467
104,9,7,0.8000000000000003,0.11600225253100324,0.042036505518990526
107,9,8,0.6000000000000001,0.5607508884632005,0.11553841774098174
110,9,8,0.7500000000000002,0.2741910758926466,0.02478379593777313
108,9,8,0.6500000000000001,0.42172909522553415,0.09629582235619456
109,9,8,0.7000000000000002,0.33038237371953366,0.03755827935084857
111,9,8,0.8000000000000003,0.1573180323180323,0.0668093272837975
112,10,5,0.5,0.3334797989201265,0.0863903205047965
113,10,5,0.55,0.30615330888772485,0.08372081914959129
116,10,5,0.7000000000000002,0.15847167325428194,0.07003881463355956
114,10,5,0.6000000000000001,0.39204202867210264,0.05706794898837475
115,10,5,0.6500000000000001,0.35938916726318304,0.051052931796955435
