,0,1,2,3,4
40,35,27,0.1,0.19703154619317667,0.17439954880267092
42,35,27,0.30000000000000004,0.5530212609636056,0.4804786336162457
47,35,32,0.4,0.6373095936676404,0.49167252940399053
45,35,32,0.2,0.524815761634264,0.47996517532304156
52,40,25,0.1,0.13299870256618587,0.052908212979201494
44,35,32,0.1,0.18653311932657615,0.22166927220339663
53,40,25,0.2,0.465386412797523,0.4633155227105764
46,35,32,0.30000000000000004,0.6482697406944475,0.5293641486407537
54,40,25,0.30000000000000004,0.5461635188645534,0.4668568852702082
55,40,25,0.4,0.4946948736287363,0.3957876669550012
65,45,22,0.2,0.4563801189215258,0.4939666628383313
66,45,22,0.30000000000000004,0.5344008860064419,0.49049574924393163
64,45,22,0.1,0.22694507491847185,0.10536873865181813
56,40,30,0.1,0.18504177011877407,0.22172870818451076
57,40,30,0.2,0.49249425983958756,0.48087444467062035
67,45,22,0.4,0.5033501658814187,0.3982126670857246
68,45,27,0.1,0.19703154619317667,0.17439954880267092
58,40,30,0.30000000000000004,0.6284799053592993,0.5279421127629895
59,40,30,0.4,0.6389690483463302,0.48949994924270557
69,45,27,0.2,0.5347266105830182,0.48620635574161547
63,40,35,0.4,0.5652464816723274,0.4738719966657848
70,45,27,0.30000000000000004,0.5419480153671262,0.4774817855758626
71,45,27,0.4,0.47353688227086843,0.377459488759449
60,40,35,0.1,0.18679878377930412,0.22212252580257366
61,40,35,0.2,0.6014558285923602,0.5541752621378685
62,40,35,0.30000000000000004,0.6212311907912074,0.503923399914827
73,45,32,0.2,0.5258873884564009,0.48128910313177015
84,50,25,0.1,0.13357159672220598,0.053719548276787536
86,50,25,0.30000000000000004,0.5467481957250833,0.4705655971131261
85,50,25,0.2,0.46605936343924204,0.4653967870332659
88,50,30,0.1,0.18503469898421238,0.2216981071599415
75,45,32,0.4,0.6391571862899784,0.4956077794681057
87,50,25,0.4,0.4955409358854738,0.3991849082675553
89,50,30,0.2,0.49407204342779976,0.48273971262227666
72,45,32,0.1,0.2883992866997754,0.25143852970904484
74,45,32,0.30000000000000004,0.6467927038026777,0.5330941490928977
91,50,30,0.4,0.640818801076176,0.4939214592724679
78,45,37,0.30000000000000004,0.49153723184642695,0.4670392714424385
90,50,30,0.30000000000000004,0.6301504890172127,0.5310385372855565
77,45,37,0.2,0.6123243122904574,0.552604214906913
79,45,37,0.4,0.471724744056243,0.42801040121512013
76,45,37,0.1,0.18176337774751428,0.22129457678894165
82,45,42,0.30000000000000004,0.5244299538453993,0.4633879973934395
81,45,42,0.2,0.5785063120263428,0.5099028850581726
80,45,42,0.1,0.34651082112614373,0.4179943384801323
